"Title","Price","Rating","Availability","Style","Volume","ABV","Malt","Origin","Brewer","Allergens","Hops","NutritionalValues"
"Affligem Blond - 2L SUB Keg","12.39","4","In Stock","Blond Beer","2 Litres","6.7%","Barley Malt","Belgium","['Affligem', 'Brouwerij']","['None']",,
"Delirium Tremens - 2L SUB Keg","19.79","4","In Stock","Blond Beer","2 Litres","8.5%","Barley Malt","Belgium","['Brouwery', 'L.', 'Huyghe']","['Barley', 'Malt']",,
"Lagunitas IPA - 2L SUB Keg","12.23","4","In Stock","IPA","2 Litres","6.2%","Wheat                                                                                                                                    Barley Malt","United States of America","['Lagunitas', 'Brewing', 'Company']","['Wheat', 'Barley', 'Malt']",,
"Tiger - 2L SUB Keg","11.29","0","In Stock","Lager","2 Litres","5.0%","Barley Malt","Singapore","['Tiger']","['Barley', 'Malt']",,
"Heineken - 8L BLADE Keg","36.99","3","In Stock","Lager","8 Litres","5.0%","Barley Malt","The Netherlands","['Heineken', 'Brewery']","['None']",,
"Desperados - 5L Draught Keg","28.99","3","In Stock","Lager","5 Litres","5.9%","Barley                                                                                                                                    Barley Malt","France","['Desperados']","['None']",,
"Lagunitas IPA - 8L BLADE Keg","44.99","4","In Stock","IPA","8 Litres","6.2%","Barley Malt                                                                                                                                    Wheat Malt","United States of America","['Lagunitas', 'Brewing', 'Company']","['Barley', 'Malt', 'Wheat', 'Malt']",,
"Amstel - 8L BLADE Keg","31.4","3","In Stock","Lager","8 Litres","4.1%",,"The Netherlands","[]","['None']",,
"Puntigamer - 2L SUB Keg","9.6","3","In Stock","Lager","2 Litres","5.2%","Barley Malt","Austria","[]","['Barley', 'Malt']",,
"Paulaner Weissbier - 5L Draught Keg Not Beertender Compatible","26.09","0","In Stock","German Wheat Beer","5 Litres","5.5%","Barley                                                                                                                                    Wheat Malt","Germany","['Paulaner', 'Brauerei']","['Barley', 'Wheat', 'Malt']",,
"Desperados - 8L BLADE Keg","41.99","3","In Stock","Lager","8 Litres","5.9%","Barley                                                                                                                                    Barley Malt","France","['Desperados']","['None']",,
"Messina Cristalli Di Sale - 8L BLADE Keg","39.99","3","In Stock","Lager","8 Litres","5.0%","Barley Malt","Italy","['Birrificio', 'Messina']","['Barley', 'Malt']",,
"Heineken Silver - 8L BLADE Keg","36.99","0","In Stock","Lager","8 Litres","4.0%","Barley Malt","The Netherlands","['Heineken', 'Brewery']","['Barley', 'Malt']",,
"Lagunitas IPA - 5L Draught Keg","24.39","4","In Stock","IPA","5 Litres","6.2%","Barley Malt                                                                                                                                    Wheat","United States of America","[]","['Barley', 'Malt', 'Wheat']",,
"Villacher Märzen - 8L BLADE Keg","39.99","0","In Stock","Lager","8 Litres","5.0%","Barley Malt","Austria","[]","['Barley', 'Malt']",,
"Birra Moretti Baffo d'Oro - 8L BLADE Keg","38.99","3","In Stock","Lager","8 Litres","4.8%","Barley Malt","Italy","['Birra', 'Moretti']","['None']",,
"Dark Arts Surreal Stout - 2L SUB Keg","17.49","4","In Stock","Porter & Stout","2 Litres","6.0%",,"United Kingdom","[]","['Barley', 'Malt', 'Oat', 'Malt']",,
"Strongbow Original Cider - 2L SUB Keg","7.67","3","In Stock","Cider","2 Litres","4.5%",,"United Kingdom","[]","['Sulfite']",,
"La Chouffe Blonde D'ardenne - 2L SUB Keg","18.29","4","In Stock","Blond Beer","2 Litres","8.0%","Barley Malt","Belgium","['Brasserie', ""d'Achouffe""]","['Barley', 'Malt']",,
"Heineken - 2L SUB Keg","8.75","3","In Stock","Lager","2 Litres","5.0%","Barley Malt","The Netherlands","['Heineken', 'Brewery']","['None']",,
"Zipfer Urtyp - 2L SUB Keg","11.29","3","In Stock","Lager","2 Litres","5.4%","Barley Malt","Austria","['Brau', 'Union']","['Barley', 'Malt']","['Magnum', 'Perle', 'Tettnanger', 'Spalter', 'Select']",
"Affligem Blond - 5L Draught Keg","28.99","4","In Stock","Blond Beer","5 Litres","6.7%","Barley Malt","Belgium","['Affligem', 'Brouwerij']","['None']",,
"Gösser Radler - 2L SUB Keg","9.09","0","In Stock","Lager","2 Litres","2.0%","Barley Malt","Austria","[]","['None']",,
"Birra Moretti L'Autentica - 2L SUB Keg","11.59","3","In Stock","Lager","2 Litres","4.6%","Barley Malt","Italy","['Birra', 'Moretti']","['Barley', 'Malt']",,
"Zipfer Urtyp - 8L BLADE Keg","39.99","3","In Stock","Lager","8 Litres","5.4%","Barley Malt","Austria","['Brau', 'Union']","['Barley', 'Malt']","['Magnum', 'Perle', 'Tettnanger', 'Spalter', 'Select']",
"La Cristal IPA du Mont Blanc - 2L SUB Keg","17.29","3","In Stock","IPA","2 Litres","4.7%","Barley Malt","France","['Brasserie', 'Du', 'Mont', 'Blanc']","['Barley', 'Malt']",,
"Strongbow Dark Fruit - 8L BLADE Keg","37.49","0","In Stock","Cider","8 Litres","4.0%",,"United Kingdom","[]","['None']",,
"Gösser Märzen - 2L SUB Keg","10.79","3","In Stock","Lager","2 Litres","5.2%",,"Austria","['Brau', 'Union']","['None']",,
